Country,ISO_code,mEGFR_freq_overall
China,CHN,48
Hong Kong,HKG,53
Japan,JPN,45
Malaysia,MYS,45
Philippines,PHL,52
Republic of Korea,KOR,43
Singapore,SGP,40
Taiwan,TWN,57
Thailand,THA,54
Vietnam,VNM,64
Austria,AUT,7
Czech Republic,CZE,21
Finland,FIN,10
France,FRA,15
Germany,DEU,11
Greece,GRC,22
Italy,ITA,14
Lithuania,LTU,12
Netherlands,NLD,15
Norway,NOR,11
Poland,POL,13
Portual,PRT,13
Russia,RUS,22
Slovakia,SVK,20
Spain,ESP,17
Sweden,SWE,11
Turkey,TUR,37
UK,GBR,12
Canada,CAN,14
USA,USA,23
Bangladesh,BGD,23
India,IND,26
Pakistan,PAK,27
Argentina,ARG,19
Brazil ,BRA,28
Peru,PER,67
Australia,AUS,12
Morocco,MAR,21